,open,close,high,low,volume,time,HA_Close,HA_Open,HA_High,HA_Low
0,30297.8,30406.8,30490.5,30001.5,13486.37,2023-06-28 12:00:00,30299.15,30352.3,30490.5,30001.5
1,30406.8,30084.3,30460.0,29842.5,10076.81,2023-06-28 16:00:00,30198.4,30275.35,30460.0,29842.5
2,30084.3,30066.3,30205.3,29934.2,3942.57,2023-06-28 20:00:00,30072.525,30173.9375,30205.3,29934.2
3,30066.3,30163.8,30236.2,30037.9,4052.23,2023-06-29 00:00:00,30126.05,30149.99375,30236.2,30037.9
4,30163.8,30335.9,30417.1,30126.8,3434.05,2023-06-29 04:00:00,30260.9,30205.446875,30417.1,30126.8
5,30335.9,30666.3,30747.0,30332.0,8709.63,2023-06-29 08:00:00,30520.3,30362.8734375,30747.0,30332.0
6,30666.3,30476.3,30839.2,30399.3,10807.22,2023-06-29 12:00:00,30595.275,30479.07421875,30839.2,30399.3
7,30476.3,30583.7,30665.0,30422.0,5927.55,2023-06-29 16:00:00,30536.75,30507.912109375,30665.0,30422.0
8,30583.7,30449.2,30639.7,30238.0,4090.65,2023-06-29 20:00:00,30477.649999999998,30492.781054687497,30639.7,30238.0
9,30449.2,30742.5,30876.3,30350.0,8799.65,2023-06-30 00:00:00,30604.5,30548.64052734375,30876.3,30350.0
10,30742.5,30758.2,31301.4,30610.8,16161.37,2023-06-30 04:00:00,30853.225,30700.932763671874,31301.4,30610.8
11,30758.2,30895.8,30934.1,30715.7,5558.56,2023-06-30 08:00:00,30825.95,30763.44138183594,30934.1,30715.7
12,30895.8,30054.8,31122.1,29471.5,45032.66,2023-06-30 12:00:00,30386.05,30574.745690917967,31122.1,29471.5
13,30054.8,30364.5,30713.4,29919.4,16353.93,2023-06-30 16:00:00,30263.025,30418.885345458984,30713.4,29919.4
14,30364.5,30464.0,30534.2,30332.5,3467.25,2023-06-30 20:00:00,30423.8,30421.342672729494,30534.2,30332.5
15,30464.0,30389.6,30524.0,30365.4,2759.88,2023-07-01 00:00:00,30435.75,30428.546336364747,30524.0,30365.4
16,30389.6,30446.1,30455.5,30313.7,1931.28,2023-07-01 04:00:00,30401.225,30414.885668182375,30455.5,30313.7
17,30446.1,30513.4,30592.9,30410.2,1752.31,2023-07-01 08:00:00,30490.65,30452.767834091188,30592.9,30410.2
18,30513.4,30566.8,30656.4,30497.2,2549.53,2023-07-01 12:00:00,30558.45,30505.608917045596,30656.4,30497.2
19,30566.8,30605.0,30624.5,30536.7,667.81,2023-07-01 16:00:00,30583.25,30544.429458522798,30624.5,30536.7
20,30605.0,30580.9,30606.3,30542.0,392.8,2023-07-01 20:00:00,30583.550000000003,30563.9897292614,30606.3,30542.0
21,30580.9,30507.3,30651.7,30464.5,2048.56,2023-07-02 00:00:00,30551.100000000002,30557.5448646307,30651.7,30464.5
22,30507.2,30506.1,30551.9,30465.6,1027.68,2023-07-02 04:00:00,30507.700000000004,30532.62243231535,30551.9,30465.6
23,30506.1,30536.6,30552.0,30480.7,1111.53,2023-07-02 08:00:00,30518.85,30525.736216157675,30552.0,30480.7
24,30536.6,30491.0,30628.0,30159.3,8701.97,2023-07-02 12:00:00,30453.725,30489.730608078837,30628.0,30159.3
25,30491.0,30551.0,30675.5,30357.8,4356.82,2023-07-02 16:00:00,30518.825,30504.27780403942,30675.5,30357.8
